amors|amors||||||
aventures|aventures|http://0.0.0.0:8080/static/ula.html#|||||
chivaleries|chivaleries||||||
cortoisies|cortoisies||||||
de|de||||||
d’|d’||||||
et|et||||||
fetes|fetes||||||
hoiez|hoiez||||||
largesce|largesce||||||
onor|onor||||||
or|or||||||
pais|pais||||||
segnor|segnor||||||
